01_07_d_04_01_2024,4.35,8.87,0.1673,83.90,91.55,94.62,1,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,4.07,8.65,0.1565,85.55,92.19,95.04,2,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,4.00,8.65,0.1576,86.39,92.61,95.29,3,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.88,8.58,0.1466,87.07,92.85,95.39,4,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.76,8.48,0.1381,87.49,93.00,95.48,5,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.73,8.41,0.1381,87.61,93.15,95.56,6,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.68,8.34,0.1395,87.41,93.05,95.51,7,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.63,8.40,0.1309,88.19,93.36,95.66,8,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.56,8.29,0.1287,88.36,93.53,95.75,9,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.53,8.26,0.1273,88.50,93.63,95.83,10,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.46,8.19,0.1260,88.74,93.78,95.86,11,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.47,8.20,0.1228,88.90,93.77,95.85,12,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.37,8.07,0.1227,89.07,93.88,95.96,13,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.42,8.03,0.1304,88.82,93.77,95.89,14,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.38,8.02,0.1247,89.19,93.86,95.91,15,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.37,8.04,0.1245,89.01,93.69,95.84,16,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.35,8.01,0.1237,89.31,93.95,95.98,17,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.30,7.97,0.1211,89.46,94.01,96.01,18,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.32,8.00,0.1261,89.08,93.88,95.96,19,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.31,8.02,0.1241,89.24,93.90,96.02,20,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.34,7.97,0.1255,89.25,93.93,96.00,21,0.0001,0.9,1,L1+TV,416,960,0.0001
01_07_d_04_01_2024,3.29,7.97,0.1224,89.47,94.01,96.05,22,0.0001,0.9,1,L1+TV,416,960,0.0001
