32,48
23,76
21,73
23,73
23,35
24,56
15,77
21,70
21,70
27,73
24,37
23,73
24,75
41,72
18,52
24,71
24,66
41,69
17,64
26,68
34,66
38,70
24,56
22,72
39,76
64,77
31,52
29,73
21,24
19,21
28,68
26,66
33,65
27,58
24,33
37,68
26,55
25,50
26,60
35,75
25,42
26,47
24,58
30,72
26,60
24,73
22,71
15,69
28,71
29,64
21,68
23,56
17,17
23,71
23,67
41,61
26,74
27,51
36,68
25,54
25,70
24,30
25,72
21,64
33,51
28,54
24,28
29,84
36,57
35,64
40,70
20,65
12,50
23,73
26,72
28,78
36,74
21,74
23,67
20,51
24,66
30,59
25,36
37,64
23,68
28,59
27,66
26,58
22,32
20,70
34,62
24,67
22,65
25,76
27,74
28,68
32,70
25,67
24,20
24,58
25,54
40,56
25,54
34,60
22,59
25,65
25,58
27,70
27,73
26,74
24,56
24,41
17,18
17,17
24,40
28,70
13,19
35,51
54,70
27,69
28,65
31,70
26,68
22,70
22,74
24,67
32,59
23,58
26,71
26,73
44,80
23,76
33,70
24,70
25,61
38,67
33,67
34,58
28,50
15,71
28,50
24,70
43,43
23,73
19,65
21,74
26,72
24,72
23,69
23,74
20,71
15,71
18,73
26,74
24,71
39,71
28,71
27,68
26,50
28,74
31,74
26,74
22,47
24,64
24,40
25,71
17,17
29,55
25,74
30,59
22,65
35,46
25,50
24,34
27,39
24,72
29,74
28,59
25,52
24,68
24,58
41,73
39,65
24,68
24,46
24,70
32,58
26,66
27,41
41,41
17,53
40,65
36,70
18,47
35,70
37,77
22,77
20,78
42,61
28,76
32,71
22,71
24,65
28,67
21,60
28,60
19,71
20,70
27,69
29,71
28,72
32,70
22,72
37,59
23,48
22,63
19,66
23,70
23,69
22,66
15,68
30,61
25,65
26,49
30,65
26,61
29,55
43,65
32,71
26,70
25,55
22,66
21,52
22,69
25,67
23,53
38,71
29,74
25,56
24,76
14,74
24,70
22,26
18,53
37,73
32,66
16,48
24,50
33,61
31,70
24,69
24,69
23,12
24,74
23,43
25,70
20,66
24,63
19,59
23,46
24,47
31,62
23,68
22,67
24,55
65,71
20,72
23,55
19,24
24,71
21,64
27,72
29,73
21,70
29,47
44,53
24,64
23,55
23,66
26,49
31,40
20,60
20,42
20,68
16,68
25,74
25,78
28,46
42,59
11,12
28,76
24,60
45,64
23,71
48,86
23,73
29,67
28,73
17,74
28,55
43,75
24,65
26,66
28,72
27,64
22,56
16,63
25,52
23,68
31,51
37,67
30,55
23,48
22,44
14,46
23,70
22,66
17,59
20,13
35,69
29,52
36,72
23,75
34,58
43,77
26,54
22,61
23,53
26,63
31,66
23,65
38,66
25,71
24,64
21,52
26,70
24,68
31,44
22,49
20,59
30,57
32,40
24,64
23,69
22,25
20,67
23,68
35,71
14,83
16,13
17,69
21,71
21,74
31,35
22,80
23,70
34,76
25,55
25,66
24,71
