epoch,loss,mae,mean_relative_error,rmse
0,0.05944710597395897,8.758418083190918,0.3150428831577301,14.378981590270996
0,0.07452362775802612,11.03073501586914,0.37681880593299866,17.566158294677734
1,0.04820305481553078,7.051120758056641,0.26169779896736145,12.176104545593262
2,0.04426385462284088,6.453318119049072,0.24281980097293854,11.442503929138184
0,0.0714871734380722,10.723082542419434,0.3715301752090454,16.93961524963379
1,0.04660572111606598,6.990858554840088,0.26297062635421753,12.048373222351074
2,0.04250938817858696,6.376408100128174,0.24537500739097595,11.337932586669922
0,0.07552158087491989,11.32822036743164,0.3860172629356384,17.90757179260254
1,0.04934161528944969,7.401244163513184,0.274028480052948,12.6212158203125
2,0.0432664230465889,6.489963531494141,0.24543514847755432,11.511209487915039
0,0.07485759258270264,11.141115188598633,0.38781148195266724,17.728517532348633
1,0.048708874732255936,7.190835952758789,0.2643824815750122,12.502103805541992
2,0.04328944906592369,6.370163917541504,0.24070385098457336,11.427399635314941
0,0.07506521046161652,11.168133735656738,0.38608410954475403,17.8088436126709
1,0.047712452709674835,7.029073238372803,0.2622297704219818,12.263094902038574
2,0.04306819662451744,6.330045223236084,0.23972100019454956,11.392047882080078
